month,state,permit,permit_recheck,handgun,long_gun,other_gun,multiple,other_sale_types,checks_combined
19-Oct,Alabama,25615,635,16759,13692,1078,938,4537,63254
19-Oct,Alaska,168,5,3304,3510,392,302,600,8281
19-Oct,Arizona,5151,686,11543,7509,1138,798,2008,28833
19-Oct,Arkansas,3031,825,4809,7173,351,391,2723,19303
19-Oct,California,36057,0,32128,23005,4198,0,864,96252
19-Oct,Colorado,6006,0,15537,13269,1347,1021,384,37564
19-Oct,Connecticut,5230,505,4347,1990,502,0,0,12574
19-Oct,Delaware,199,0,1624,1749,116,101,193,3982
19-Oct,District of Columbia,814,0,113,3,0,2,1,933
19-Oct,Florida,16293,0,47504,19816,3830,2494,7277,97214
19-Oct,Georgia,17918,0,11105,9858,598,644,3294,43417
19-Oct,Guam,0,0,125,69,14,8,1,217
19-Oct,Hawaii,1099,0,0,0,0,0,3,1102
19-Oct,Idaho,8467,8,3784,5530,375,243,985,19392
19-Oct,Illinois,12414,437512,17482,10040,0,881,0,478329
19-Oct,Indiana,759,44436,16204,12595,1528,775,1416,77713
19-Oct,Iowa,5707,7641,174,2940,46,4,93,16605
19-Oct,Kansas,1270,8,4917,5227,480,330,1092,13324
19-Oct,Kentucky,2238,279272,8759,8890,455,612,3424,303650
19-Oct,Louisiana,1606,193,8450,11231,674,568,2171,24893
19-Oct,Maine,430,4,2997,5699,294,209,279,9912
19-Oct,Mariana Islands,0,0,11,4,0,1,0,16
19-Oct,Maryland,4065,9,3372,5731,132,37,374,13720
19-Oct,Massachusetts,10709,0,4064,2561,473,147,105,18059
19-Oct,Michigan,16577,3865,9550,12790,685,243,368,44078
19-Oct,Minnesota,11039,24658,8762,16263,909,514,775,62920
19-Oct,Mississippi,2056,0,6506,7086,369,342,2808,19167
19-Oct,Missouri,3109,0,16633,18732,1646,1142,3236,44498
19-Oct,Montana,1355,2,2612,5541,251,278,1457,11496
19-Oct,Nebraska,3365,73,81,2182,21,2,83,5807
19-Oct,Nevada,2454,0,4402,2573,298,257,480,10464
19-Oct,New Hampshire,1294,2,4876,3219,216,1,146,9754
19-Oct,New Jersey,0,0,3756,3226,229,0,116,7327
19-Oct,New Mexico,809,0,5518,3964,512,352,1110,12265
19-Oct,New York,3504,2577,8810,16600,1272,245,974,33982
19-Oct,North Carolina,22917,50,1370,12811,1014,221,4520,42903
19-Oct,North Dakota,297,14,1446,3638,143,105,243,5886
19-Oct,Ohio,10826,195,18896,16127,1706,1124,1960,50834
19-Oct,Oklahoma,3398,0,10536,9256,1064,930,3610,28794
19-Oct,Oregon,5238,833,13377,10705,0,6,236,30395
19-Oct,Pennsylvania,23379,0,44371,17094,54,0,1168,86066
19-Oct,Puerto Rico,0,0,1892,161,79,31,26,2189
19-Oct,Rhode Island,0,0,942,698,66,188,156,2050
19-Oct,South Carolina,8427,205,8542,6648,623,465,1797,26707
19-Oct,South Dakota,579,2,2216,5161,215,205,405,8783
19-Oct,Tennessee,5513,817,21973,15268,1342,0,102,45015
19-Oct,Texas,28826,0,41994,33957,3423,2464,10635,121299
19-Oct,Utah,11721,56857,2898,3819,312,0,754,76361
19-Oct,Vermont,0,0,1283,1860,103,83,19,3348
19-Oct,Virgin Islands,128,0,21,1,0,0,0,150
19-Oct,Virginia,497,488,20887,15388,3146,2,82,40490
19-Oct,Washington,13310,486,13948,9851,2574,40,2775,42984
19-Oct,West Virginia,3309,119,5026,6883,274,380,2248,18239
19-Oct,Wisconsin,8506,758,13148,15376,1028,46,533,39395
19-Oct,Wyoming,479,19,1594,2368,142,103,362,5067
19-Sep,Alabama,23674,605,14259,12550,1100,801,3883,56872
19-Sep,Alaska,200,11,2276,2766,291,180,382,6106
19-Sep,Arizona,4812,594,12126,7629,1441,896,1809,29307
19-Sep,Arkansas,2995,720,4535,5063,392,336,2244,16285
19-Sep,California,37637,0,30776,22726,3524,0,877,95540
19-Sep,Colorado,5583,0,14614,12289,1520,1015,312,35333
19-Sep,Connecticut,5507,438,4115,1726,577,0,2,12365
19-Sep,Delaware,207,0,1397,1378,134,62,178,3356
19-Sep,District of Columbia,484,0,94,5,0,2,25,610
19-Sep,Florida,14077,0,44565,18261,4154,2361,6397,89815
19-Sep,Georgia,17501,1,10415,7843,601,533,2900,39794
19-Sep,Guam,0,0,123,58,17,11,0,209
19-Sep,Hawaii,967,0,0,0,0,0,2,969
19-Sep,Idaho,5828,4,3645,4776,395,229,941,15818
19-Sep,Illinois,13011,442109,17639,9512,0,891,0,483162
19-Sep,Indiana,504,42656,15291,10734,1680,813,1273,72951
19-Sep,Iowa,4288,5258,131,2288,31,7,78,12081
19-Sep,Kansas,1048,11,4405,4322,477,264,946,11473
19-Sep,Kentucky,1675,265396,8526,6502,489,527,2949,286064
19-Sep,Louisiana,1784,80,8996,9417,786,632,1768,23463
19-Sep,Maine,441,4,2919,4439,265,211,231,8510
19-Sep,Mariana Islands,0,0,6,10,0,0,0,16
19-Sep,Maryland,3189,10,2981,4714,131,39,322,11386
19-Sep,Massachusetts,10377,0,3523,2370,468,150,103,16991
19-Sep,Michigan,15531,3693,9135,11241,767,239,319,40925
19-Sep,Minnesota,10138,20054,8131,14379,870,487,674,54733
19-Sep,Mississippi,1691,0,6384,5653,380,345,2521,16974
19-Sep,Missouri,2953,0,15032,13663,1559,1008,2709,36924
19-Sep,Montana,1129,0,2651,4533,270,237,1271,10091
19-Sep,Nebraska,3234,48,63,1631,23,2,64,5065
19-Sep,Nevada,1826,0,3985,2467,297,267,443,9285
19-Sep,New Hampshire,1192,1,4458,2948,190,0,151,8940
19-Sep,New Jersey,0,0,3760,3285,218,0,109,7372
19-Sep,New Mexico,737,0,5517,3752,601,319,924,11850
19-Sep,New York,3219,2026,8316,16334,1417,225,795,32332
19-Sep,North Carolina,21099,136,1306,10756,941,211,3856,38305
19-Sep,North Dakota,227,35,1489,3300,134,107,163,5455
19-Sep,Ohio,10321,154,17083,13048,1534,936,1691,44767
